license_no,company,state,postcode,phone,license_year,osa_code
MALLI20241211A,SM PHARMACEUTICALS SDN. BHD.,Kedah,08000,04-4411801,2024,859
MALLI20240821,TIGER BALM (M) SDN. BHD.,Johor,81100,607-2891166,2024,1033477
MALLI20240512A,STADPHARM SDN. BHD.,Selangor,47301,03-78327812,2024,55917
MALLI20241630,GCOOP MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,50480,,2024,1267104
MALLI20240806A,RANBAXY (MALAYSIA) SDN. BHD.,Kedah,08000,0322763452/04 4220660/04 4220661,2024,713
MALLI20241952,SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD.,W.P. Kuala Lumpur,60000,,2024,1321563
MALLI20240023,NUVANTA SDN. BHD.,Selangor,47500,0356363758,2024,1033577
MALLI20241413,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,Selangor,47500,012-3065871,2024,1144454
MALLI20241409,Huiji (Malaysia) Sdn Bhd,Johor,81550,075570939,2024,936337
MALLI20240321,BIO-LIFE MARKETING SDN. BHD.,Selangor,47301,603-7499 7999,2024,1146741
MALLI20241312,CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD,W.P. Kuala Lumpur,57000,0172011425,2024,939617
MALLI20240226,Forlife Research Imports Sdn. Bhd.,W.P. Kuala Lumpur,59200,1800-819-418,2024,1271844
MALLI20240878,QNET (M) SDN. BHD.,Selangor,46050,+603-79679888,2024,56272
MALLI20241063,GENIUS PROFIT SDN. BHD.,Selangor,47301,0378317708,2024,1033733
MALLI20240974A,MUNDIPHARMA PHARMACEUTICALS SDN. BHD.,Selangor,47800,03-67365606,2024,1204691
MALLI20240070,ONI Global (Malaysia) Sdn Bhd,W.P. Kuala Lumpur,56100,0392002368,2024,934710
MALLI20240580,MD PHARMA SDN. BHD.,Selangor,47301,0122950213,2024,1106464
MALLI20240135A,BioCare Pharmaceutical (M) Sdn. Bhd.,Selangor,46150,03-7957 3555,2024,56179
MALLI20241887A,MEDISPEC (M) SDN. BHD.,Selangor,47301,,2024,1317707
MALLI20240691,EMBUN ELIT SDN.BHD.,Selangor,46200,03-7956 7012,2024,3794
MALLI20240045,MICHELLE LAZAR INTERNATIONAL SDN BHD,Johor,81100,07-3525235,2024,1142069
MALLI20241279,BIING HAN ENTERPRISE SDN. BHD.,W.P. Kuala Lumpur,55100,03-21449326,2024,55897
MALLI20240450,BUMARI SDN. BHD.,Pulau Pinang,13400,04-3246246,2024,1704
MALLI20241537,Biolyn Health Risk Management (M) Sdn. Bhd.,Selangor,43500,,2024,1185648
MALLI20240050A,Abio Marketing Sdn Bhd,Selangor,47500,03-56293688,2024,1155426
MALLI20240254A,Shennong Animal Health (Malaysia) Sdn. Bhd.,Selangor,47610,03-80114646,2024,1141236
MALLI20241008,Alphay Marketing (M) Sdn Bhd,Selangor,47301,,2024,1309435
MALLI20241223,Synergy Worldwide Marketing Sdn  Bhd,Selangor,47400,60377108228,2024,1114030
MALLI20240197,UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,59200,03-22460800,2024,1110194
MALLI20240868A,Takeda Malaysia Sdn Bhd,Selangor,46200,60379533100,2024,999740
MALLI20240973,NUTRIGO SDN. BHD.,W.P. Kuala Lumpur,53000,,2024,1316643
MALLI20240171,PINK & BLUE TRADING CO. SDN. BHD.,W.P. Kuala Lumpur,60000,03-7726-7091,2024,55901
MALLI20240538,CHINI ENTERPRISE (M) SDN. BHD.,W.P. Kuala Lumpur,50350,03-40481268,2024,1144462
MALLI20241571A,LINK HEALTHCARE SDN. BHD.,Selangor,40150,0125497369,2024,1182295
MALLI20240632A,MEDISPEC (M) SDN. BHD.,Pulau Pinang,11400,04-8273450,2024,55826
MALLI20241938,AESD INTERNATIONAL (M) SDN. BHD.,Selangor,47301,,2024,1314018
MALLI20240123A,TRB CHEMEDICA MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,56000,03-28561122,2024,1143433
MALLI20240463A,DKSH MALAYSIA SDN. BHD.,Selangor,47301,03-78828888,2024,75
MALLI20241116A,STERLING DRUG (MALAYA) SDN. BHD.,Selangor,68000,03-74912020,2024,75959
MALLI20241464,YOUNG LIVING MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,59200,0327148600,2024,1105277
MALLI20241535A,IED HEALTHCARE SDN. BHD.,W.P. Kuala Lumpur,53300,,2024,1271969
MALLI20240228A,Bausch & Lomb (Malaysia) Sdn. Bhd.,Selangor,47100,+603-86017000,2024,1132102
MALLI20240880,Bioalpha International Sdn. Bhd.,Selangor,43650,0389251222,2024,1118925
MALLI20241577A,UNITED ITALIAN TRADING (M) SDN. BHD.,Selangor,46350,03-7965 3000,2024,1316372
MALLI20240263A,Aspen Medical Products Malaysia Sdn Bhd,Selangor,47400,03-77339795,2024,1033736
MALLI20241006,HAPPY LINK DISTRIBUTORS SDN BHD,Selangor,47160,603-8068 7311,2024,55865
MALLI20241054A,Vantive Sdn. Bhd.,Selangor,47301,,2024,1316554
MALLI20240125,KONIKI NATURE (M) SDN BHD,Johor,81200,0127718341,2024,1033554
MALLI20240822A,Nam Pharma Sdn. Bhd.,Perak,31200,"05-2931838,1839",2024,1041335
MALLI20240128,YANGTZE JIANG PHARMA SDN. BHD.,Selangor,47170,0380747008,2024,1155036
MALLI20241786,DAWN GLOBAL SDN. BHD.,W.P. Kuala Lumpur,57000,,2024,1317708
MALLI20240697A,RANGE PHARMA SDN. BHD.,Selangor,47000,03-61568708,2024,1106134
MALLI20240064,VENNBIO NUTRICEUTICAL SDN. BHD.,Selangor,40150,0378324279,2024,1131399
MALLI20241233,NATURES SCIENCEUTICALS SDN BHD,W.P. Kuala Lumpur,50480,0362000621,2024,941469
MALLI20240453,BIO-SCIENCE MARKETING SDN. BHD.,W.P. Kuala Lumpur,52100,0362592955,2024,1033503
MALLI20241546A,ALL EIGHTS (M) SDN BHD,Selangor,47610,0356334988,2024,56080
MALLI20240172A,ABBOTT LABORATORIES (M) SDN. BHD.,Selangor,47400,03-7988 7000,2024,1204170
MALLI20240318A,SERVIER MALAYSIA SDN. BHD.,Selangor,47400,03-77263866,2024,1210224
MALLI20240959,UNITED HERBAL SDN BHD,Selangor,41200,0167028534,2024,1131844
MALLI20241069,ARDENCE PHARMA SDN BHD,Selangor,46350,03-74987997,2024,1160242
MALLI20241635,BIDARI HEALTH SCIENCE SDN. BHD.,Johor,80200,,2024,1317963
MALLI20240191,Medexp Sdn Bhd,Selangor,47810,03-61488119,2024,1142527
MALLI20240802,HLD MEDICAL INDUSTRIES SDN BHD,W.P. Kuala Lumpur,55100,03-42802251,2024,1140786
MALLI20241062A,Synercam (M) Sdn Bhd,Selangor,46200,,2024,1270736
MALLI20240229,NU SKIN (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,50450,03-90784788,2024,1132348
MALLI20240812,KARA MARKETING (M) SDN. BHD.,Selangor,47100,0380611199,2024,1033707
MALLI20241581,Scientillence Sdn. Bhd.,Selangor,40200,,2024,1159656
MALLI20240805,GUARDIAN HEALTH AND BEAUTY SDN. BHD.,Selangor,40100,0355448400,2024,999850
MALLI20241931,GK BIO INTERNATIONAL SDN. BHD.,Selangor,47810,,2024,1314125
MALLI20240032,L H Sales & Marketing Sdn. Bhd.,W.P. Kuala Lumpur,52200,03-62868640,2024,16940
MALLI20241119A,Taseen Trading Sdn Bhd,Selangor,41050,0122910633,2024,1133304
MALLI20240451A,NOVUGEN ONCOLOGY SDN. BHD.,Selangor,40150,60358702243,2024,1106165
MALLI20241355,ZBT FAR EAST SDN. BHD.,W.P. Kuala Lumpur,56100,03-91315278,2024,55934
MALLI20241536A,Agro-farmchem Sdn Bhd,Selangor,47500,03-5633 3279,2024,1120528
MALLI20240259,EU YAN SANG (1959) SDN.BHD.,W.P. Kuala Lumpur,55100,03-21168200,2024,1132477
MALLI20240909A,NOVO NORDISK PHARMA (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,50470,+603-22657300,2024,1110273
MALLI20241122,ULTRAVITE SDN BHD,Melaka,75450,,2024,1154721
MALLI20240143,Wen Ken Marketing (M) Sdn Bhd,Johor,81200,07-2371115,2024,1136330
MALLI20240573,SINMA MEDICAL HOLDING SDN.BHD.,Selangor,43000,0387336903,2024,55863
MALLI20240145A,Mitsubishi Tanabe Pharma Malaysia Sdn. Bhd.,W.P. Kuala Lumpur,50490,012-3437937,2024,1142194
MALLI20241877,Zas Pharma Sdn Bhd,W.P. Kuala Lumpur,59000,,2024,1320011
MALLI20240811A,IDAMAN PHARMA SDN. BHD.,W.P. Kuala Lumpur,53300,0341425199,2024,1033469
MALLI20240119,PHARMADIRECT SDN. BHD.,Selangor,40150,03-55696323,2024,12160
MALLI20241274,YES HEALTH SDN BHD,Selangor,40150,0378597755,2024,1159150
MALLI20240473,WELLESTA TRUELIFE SDN. BHD.,Selangor,47820,603-76100030,2024,1185289
MALLI20241572,TOMBO ENTERPRISE SDN BHD,W.P. Kuala Lumpur,56000,0391722980,2024,56251
MALLI20241858,PERNIAGAAN NORMAHAS SDN. BHD.,W.P. Kuala Lumpur,53000,,2024,1311298
MALLI20241070A,EP PLUS GROUP SDN. BHD.,W.P. Kuala Lumpur,50480,03-62052728,2024,55870
MALLI20240454A,PAHANG PHARMACY SDN. BHD.,Selangor,41050,,2024,1131170
MALLI20241123,MORETH SDN. BHD.,Selangor,47620,603-80262749,2024,4121
MALLI20240319,VIVA LIFE SCIENCE SDN. BHD.,Selangor,47301,0378598248,2024,55924
MALLI20241740A,MEDI-DIAGNOSTIC SOLUTIONS (M) SDN. BHD.,Selangor,47800,03-77285830,2024,1033599
MALLI20240232,N.Z. NEW IMAGE SDN BHD,Selangor,46100,03-79403688,2024,56023
MALLI20240823,RIWAY (MALAYSIA) SDN BHD,Selangor,40150,03-77345939,2024,1121325
MALLI20240958,PHARM NUTRICIA SDN. BHD.,W.P. Kuala Lumpur,55100,,2024,1139238
MALLI20240072,TOTAL HEALTH CONCEPT SDN. BHD.,Selangor,46050,60379652700,2024,55949
MALLI20240536A,ABBVIE SDN BHD,Selangor,47410,+603 7883 6888 / +603 7883 6908 / +603 7883 6860,2024,1033692
MALLI20241633,Yi Si Yuan Trading Sdn. Bhd.,Johor,83000,074342024,2024,1033716
MALLI20240695,Resvenus Niaga Sdn. Bhd.,Selangor,47820,0377109600,2024,935623
MALLI20241944A,PHARM-D HEALTH SCIENCE SDN. BHD.,W.P. Kuala Lumpur,58000,0377852928,2024,1179980
MALLI20240071A,Orient Europharma (M) Sdn Bhd,Selangor,47650,03-8081 6637,2024,1121239
MALLI20241213,BNATURE HEALTH SDN BHD,Selangor,43200,0122842592,2024,1125355
MALLI20240470A,SUMMIT COMPANY (MALAYSIA) SENDIRIAN BERHAD,Selangor,46300,03-76288888,2024,1033390
MALLI20241315A,Subang Chemist Sdn. Bhd,Selangor,47200,,2024,1317304
MALLI20240419,YIN ONN (IPOH) SDN BHD,Perak,30300,05-2536341,2024,56065
MALLI20241416,HTE Venture (M) Sdn. Bhd.,Johor,81100,07-3538475,2024,1114829
MALLI20240262,PRIME PHARMACEUTICAL SDN. BHD.,Pulau Pinang,14000,04-5074787,2024,1033399
MALLI20240907A,Rhone Ma Malaysia Sdn Bhd,Selangor,46100,03-78737355,2024,1041324
MALLI20241121A,AIPHARMA HEALTHCARE SDN BHD,Johor,81000,,2024,1270792
MALLI20240626,LINTAN ENTERPRISE SDN.BHD,Sabah,88100,088-246404,2024,6559
MALLI20240138,MCM NETWORKING (M) SDN BHD,W.P. Kuala Lumpur,51200,0123826270,2024,1033541
MALLI20241835,Max Health & Living Worldwide (Malaysia) Sdn Bhd,Selangor,46300,,2024,1318895
MALLI20241232,LIFESTYLES ASIA PACIFIC MALAYSIA SDN. BHD.,Selangor,46200,603-79548377,2024,1113826
MALLI20240137A,A. MENARINI SINGAPORE PTE. LTD.,Selangor,47301,03-7985 7000 / 03-7985 7100,2024,55808
MALLI20240511,LINO GREEN SDN BHD,Perak,31400,-,2024,1192666
MALLI20241579A,Ar Dental Supplies Sdn Bhd,Selangor,40470,,2024,1317893
MALLI20240584,PO CHAI HERBAL TECHNOLOGY (M) SDN BHD,Selangor,68100,0361871203,2024,56050
MALLI20241862,I-SCIENCE INTERNATIONAL SDN BHD,Selangor,47301,,2024,1131167
MALLI20240146,Pharma Ace Sdn. Bhd.,Selangor,47810,03-78808481,2024,1107009
MALLI20240964A,ZIWELL MEDICAL SDN. BHD.,Selangor,46200,03-7960 1960,2024,724
MALLI20241214A,ANTAH PHARMA SDN. BHD.,Selangor,46300,03-79567677,2024,56263
MALLI20240322A,IDAMAN PHARMA MANUFACTURING SDN. BHD.,Perak,32610,,2024,1193076
MALLI20241407,HDI NETWORK (M) SDN. BHD.,Selangor,47620,03-56330906,2024,55872
MALLI20240211,QUANSTAR BIOTECH SDN BHD,W.P. Kuala Lumpur,59200,03-22873550,2024,55835
MALLI20240908A,ELANCO MALAYSIA SDN BHD,Selangor,47800,,2024,1210716
MALLI20240966,Thai-pore Wines & Spirits (m) Sdn Bhd,Selangor,47810,03-78052269,2024,1033698
MALLI20240820,SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD.,W.P. Kuala Lumpur,60000,603-77271108,2024,3506
MALLI20241238,VOGUE MARKETING INTERNATIONAL,Sabah,88460,088-448 989,2024,1113702
MALLI20240231,KYANI (M) SDN BHD,Selangor,40150,,2024,1112854
MALLI20241680,HIMALAYA WELLNESS MALAYSIA SDN. BHD.,Selangor,47100,+603 79567012,2024,1272946
MALLI20241011A,BSV BIOSCIENCE MALAYSIA SDN. BHD.,Selangor,46300,03-78903018,2024,76027
MALLI20241961,MOOM HEALTH SERVICES SDN. BHD.,W.P. Kuala Lumpur,59200,,2024,1315356
MALLI20240144,E HEALTH SDN. BHD.,Selangor,40170,+60194574964,2024,1124135
MALLI20241678A,Vanguard Aesthetics Sdn. Bhd.,Selangor,46200,,2024,1187635
MALLI20240694,YILIN (M) SDN. BHD.,W.P. Kuala Lumpur,55100,03-92831489,2024,1033499
MALLI20241983,CALERIE HEALTH SDN. BHD.,Selangor,46200,,2024,1323039
MALLI20240017,Sin Wah Thong Sdn Bhd,Pulau Pinang,10300,04-2623546,2024,57870
MALLI20241212,HUI CHOON (2021) SDN. BHD.,Sarawak,96000,,2024,1184477
MALLI20240408A,Rural Chemical Industries Sdn Bhd,Selangor,47500,03-56376098,2024,1041332
MALLI20241485A,Phibro Corporation (m) Sdn Bhd,Selangor,46100,,2024,1267093
MALLI20240324A,SOMEDICO SDN. BHD.,Selangor,47000,012-6150965,2024,110
MALLI20240965,MARKET MALAYSIA SHOP SDN. BHD.,W.P. Kuala Lumpur,59200,0322893333,2024,1112508
MALLI20241861A,Top Biopharma Sdn Bhd,Selangor,43700,0193135334,2024,1132240
MALLI20240575,WENG THYE HENG SDN. BHD.,Pulau Pinang,10200,604-2610239,2024,58031
MALLI20240198,BEST ATMY SDN. BHD.,Pulau Pinang,14000,,2024,1270634
MALLI20241240,Zenotec Pharma Sdn.bhd.,Selangor,40460,03-51223050,2024,75884
MALLI20241219,SUNRIDER INTERNATIONAL (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,50450,60342533266,2024,1147284
MALLI20240516A,MEPHARM (MALAYSIA) SDN. BHD.,Selangor,47600,03-56368088,2024,55861
MALLI20241573,TICI WORLD SDN. BHD.,W.P. Kuala Lumpur,56000,03-91716266,2024,75805
MALLI20240583,Ruyi Holdings Sdn Bhd,W.P. Kuala Lumpur,58000,60322737788,2024,1116243
MALLI20241963,HEALTHY WAY (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,57000,60386569999,2024,1129738
MALLI20240024,BANFOONG SYDNEY (M) SDN. BHD.,W.P. Kuala Lumpur,55100,0392853884,2024,1118926
MALLI20240535,VS INTERNATIONAL,Sabah,88450,0379683383,2024,1041308
MALLI20241277A,ZULAT PHARMACY SDN. BHD.,W.P. Kuala Lumpur,53100,03-41072061,2024,1033388
MALLI20240629A,NOVARTIS CORPORATION (MALAYSIA) SDN. BHD.,Selangor,47400,,2024,956066
MALLI20241473,PT. SARI SIHAT (M) SDN. BHD.,W.P. Kuala Lumpur,58200,0377859320,2024,1135954
MALLI20240420,SHUANG HOR ENTERPRISE (M) SDN. BHD.,W.P. Kuala Lumpur,52200,03-62758818,2024,55892
MALLI20241004A,SANDOZ PRODUCTS MALAYSIA SDN. BHD.,Selangor,47400,03-76827980,2024,1310823
MALLI20240968,BLACKMORES (MALAYSIA) SDN. BHD.,Selangor,40150,60350228208,2024,1126454
MALLI20240069,Shiang Series Sdn Bhd,W.P. Kuala Lumpur,59000,,2024,1273479
MALLI20240696A,FRESENIUS KABI MALAYSIA SDN. BHD,Selangor,46100,03-79572929,2024,1118809
MALLI20240170A,HOE PHARMACEUTICALS SDN. BHD.,Selangor,42000,03-31767822,2024,949141
MALLI20240571A,QL Pacific Vet Group Sdn. Bhd.,Selangor,47600,0380249508,2024,1104615
MALLI20240149A,PHARMA NORD SDN. BHD.,W.P. Kuala Lumpur,50470,,2024,1272011
MALLI20241712A,ORION PHARMA (MY) SDN. BHD.,W.P. Kuala Lumpur,59200,012 6005655/ 03-27019989,2024,1157498
MALLI20240699A,CIPLA MALAYSIA SDN BHD,Selangor,46050,0379562677,2024,947237
MALLI20240312A,Peterlabs Sdn Bhd,Negeri Sembilan,71800,06-7999090,2024,1041334
MALLI20241231A,Synergy Meditech (M) Sdn Bhd,Selangor,46200,,2024,1272554
MALLI20240472A,Nutri Pharmax Sdn Bhd,Pulau Pinang,14200,04-5829377/0164184377,2024,934308
MALLI20241532,PROTHERAPIX SDN. BHD.,W.P. Kuala Lumpur,58200,03-7987 6463,2024,56198
MALLI20240413A,IMEKS PHARMA SDN. BHD.,W.P. Kuala Lumpur,51200,0362418080,2024,1133955
MALLI20240256,CNI ENTERPRISE (M) SDN. BHD.,Selangor,40150,03-55694000,2024,1145014
MALLI20240913,HOMEWELL BIOSCIENCE (M) SDN BHD,Selangor,47301,,2024,1270510
MALLI20241227,Protech Health Sciences (M) Sdn Bhd,W.P. Kuala Lumpur,58200,,2024,1145839
MALLI20240578,POH TAI ENTERPRISE SDN. BHD.,Selangor,68100,0361871193,2024,56071
MALLI20240230,SG GLOBAL BIOTECH SDN. BHD.,Selangor,41400,0333410713,2024,1115293
MALLI20240875,Apex Biocare Sdn Bhd,Johor,81100,073550028,2024,1132435
MALLI20240971,GREEN HERB BIOTECH SDN. BHD.,Melaka,75450,0182357980,2024,1128791
MALLI20240124A,ACCORD HEALTHCARE SDN.BHD.,W.P. Kuala Lumpur,56000,0380117003,2024,1206110
MALLI20240625A,Ferring Sdn. Bhd.,Selangor,46200,0379603032,2024,945013
MALLI20241888,Herbs of Gold Sdn Bhd,Selangor,40150,,2024,1270169
MALLI20240623,Nova Nutritional Supplies Sdn Bhd,Selangor,46150,0356378232,2024,5042
MALLI20241889,PHAMASINDO SDN. BHD.,W.P. Kuala Lumpur,52100,0362774000,2024,1160484
MALLI20240415A,ASTRAZENECA SDN. BHD.,Selangor,47800,,2024,1205184
MALLI20240315,EUROBIO SDN BHD,Selangor,46050,05-5473219,2024,56271
MALLI20241118,ELDON HEALTHCARE SDN. BHD.,Johor,81000,,2024,1314800
MALLI20240325A,PHARM-D SDN. BHD.,W.P. Kuala Lumpur,58000,0377707918,2024,56150
MALLI20241314A,World Medicare Supplies Sdn Bhd,Selangor,43200,,2024,1205679
MALLI20240253A,RB (HEALTH) MALAYSIA SDN BHD,W.P. Kuala Lumpur,50470,0322657888,2024,1138134
MALLI20241120A,DCH AURIGA (MALAYSIA) SDN. BHD.,Selangor,40300,03-55417748,2024,55811
MALLI20241474A,SANTEN PHARMA MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,50470,+603 2276 3333,2024,1142941
MALLI20240150A,SCHMIDT BIOMEDTECH SDN. BHD.,Selangor,46100,03-78449000,2024,854
MALLI20240872,CHINESE PATENT MEDICINES & MEDICATED LIQUORS CENTRE (PENANG) SDN. BHD.,Pulau Pinang,10050,04-2621321,2024,1270866
MALLI20241065A,PHARMEX SDN BHD,Sabah,88300,088-724998,2024,56253
MALLI20240411,HIGH MEAN (M) SDN. BHD.,W.P. Kuala Lumpur,52200,03-62734728,2024,1469
MALLI20240570A,Weissen Company (m) Sdn. Bhd.,W.P. Kuala Lumpur,52100,03-62509260,2024,1041337
MALLI20240210,Cason Group Sdn. Bhd.,Selangor,47810,,2024,1309450
MALLI20241801,PHARMASUISSE MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,51200,,2024,1319180
MALLI20240690,MARY KAY (MALAYSIA) SDN. BHD.,Selangor,46200,03-2789 9099,2024,1316406
MALLI20240265,VITAHEALTH MALAYSIA SDN. BHD.,Selangor,40150,03-5569 6323,2024,1123882
MALLI20241220,Opulence Med PLT,Selangor,47820,0172008048,2024,1272467
MALLI20240469,SEW CHEONG CORPORATION SDN BHD,Perak,30300,05-2438888,2024,1033586
MALLI20241538A,TK DENTAL TRADING,Pulau Pinang,10350,04-2278618,2024,75767
MALLI20241483,21ST CENTURY PRODUCTS SDN. BHD.,Selangor,47500,03-56325041,2024,891
MALLI20240509,K-ONE WELLNESS SDN. BHD.,Selangor,47400,6055293888,2024,1310719
MALLI20240912,CAMERON BIOSCIENCE (M) SDN. BHD.,Selangor,43300,03-80683816,2024,1110457
MALLI20241072A,Glenmark Pharmaceuticals (Malaysia) Sdn. Bhd.,W.P. Kuala Lumpur,59200,0321666318,2024,1133209
MALLI20241235,ATOMY MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,50250,0327188989,2024,1131631
MALLI20240225,TEONG HUAT MEDICAL SDN. BHD.,Pulau Pinang,14100,04-5023396,2024,1141349
MALLI20240826A,PFIZER (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,59200,03-22816164,2024,1138894
MALLI20240972A,SYNERRV SDN BHD,W.P. Kuala Lumpur,59200,0322010259,2024,1128539
MALLI20240068A,EUCOGEN SDN BHD,Selangor,40460,03 51311997,2024,1113145
MALLI20240914,CAREMARK SDN. BHD.,Selangor,40150,60374550887,2024,1187642
MALLI20241631,Perfect Pentagon Sdn Bhd,Selangor,46300,+603-7620 3800,2024,78348
MALLI20240630,Old Ivy Ventures Sdn. Bhd.,Selangor,47810,0192307993,2024,943334
MALLI20241924,BEAUTE MORI SDN BHD,Selangor,46100,60378653113,2024,1311101
MALLI20241040A,MERCK SDN. BHD.,Selangor,46150,03-74943688,2024,55813
MALLI20240314,AMWAY (MALAYSIA) SDN. BHD.,Selangor,46100,03-79462610,2024,55842
MALLI20241224,Powerlife (M) Sdn. Bhd.,Negeri Sembilan,71050,067813723,2024,1270747
MALLI20240503A,NOVUGEN PHARMA SDN. BHD.,Selangor,40150,60355618220,2024,1159399
MALLI20241543,FLANTECH ASIA SDN. BHD.,Pulau Pinang,14000,04-5372200,2024,56031
MALLI20240417A,HYPHENS PHARMA SDN. BHD.,Selangor,46200,,2024,1152031
MALLI20240331,Special Enhancement Sdn Bhd,Selangor,47810,03-76514593,2024,1116644
